Datei,Cluster
quantum_log_Cortex Criticus_act_nq4_20250418035753_076d.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035748_200b.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035751_baed.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035752_8cde.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035757_87f0.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035755_64e6.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035800_a2c5.json,3
quantum_log_Cortex Criticus_act_nq4_20250418035802_a9c1.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035748_e258.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035755_789e.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_7719.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035755_e7e6.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035831_15aa.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035826_53e7.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035746_bc6f.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035800_b69b.json,3
quantum_log_Cortex Socialis_act_nq4_20250418035810_e5f1.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035821_e425.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035825_d697.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035817_0019.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035812_b8d4.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_3f60.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_5299.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035811_9ce6.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035809_aba3.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035811_b2fa.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035821_2fc7.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035813_9a40.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035812_06c5.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035756_c1b3.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_19d3.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_3843.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035817_65d8.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035814_d2f0.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035816_e28a.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035826_9d55.json,3
quantum_log_Ethik und Moral_act_nq4_20250418035822_63ba.json,3
quantum_log_Meta Cognitio_act_nq4_20250418035758_25d0.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035814_4d8e.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035812_31d4.json,3
quantum_log_Limbus Affektus_act_nq4_20250418035825_f4ca.json,3
quantum_log_Limbus Affektus_act_nq4_20250418035807_761c.json,3
quantum_log_Limbus Affektus_act_nq4_20250418035802_ef4c.json,3
quantum_log_Limbus Affektus_act_nq4_20250418035757_0e84.json,3
quantum_log_Meta Cognitio_act_nq4_20250418035810_e5b9.json,3
quantum_log_Meta Cognitio_act_nq4_20250418035819_2ce4.json,3
quantum_log_Limbus Affektus_act_nq4_20250418035746_0a8d.json,3
quantum_log_Governance und Politik_act_nq4_20250418035801_7c08.json,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035832_4971.json,3
quantum_log_Meta Cognitio_act_nq4_20250418035751_da05.json,3
quantum_log_Meta Cognitio_act_nq4_20250418035759_207f.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035829_0946.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035817_6d43.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035819_58e0.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035754_b089.json,3
quantum_log_Cortex Creativus_act_nq4_20250418035745_8dd3.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035818_7117.json,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035831_e795.json,3
quantum_log_Synergien und Integration_act_nq4_20250418035821_8dbc.json,3
quantum_log_Simulatrix Neuralis_act_nq4_20250418035829_f75c.json,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035809_3326.json,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035817_12e4.json,4
quantum_log_Synergien und Integration_act_nq4_20250418035828_112b.json,4
quantum_log_Synergien und Integration_act_nq4_20250418035808_d249.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035824_c723.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035748_0477.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035829_59e7.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035811_2d82.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035808_995a.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035804_f32f.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035826_f4b4.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035820_e3c2.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035817_e205.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035805_fbe2.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035801_10d4.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035758_8bd2.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035751_e422.json,4
quantum_log_Limbus Affektus_act_nq4_20250418035747_88c1.json,4
quantum_log_Governance und Politik_act_nq4_20250418035823_fd41.json,4
quantum_log_Governance und Politik_act_nq4_20250418035808_b435.json,4
quantum_log_Governance und Politik_act_nq4_20250418035747_b9dd.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035831_79ab.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035829_e89d.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_33b2.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035823_8645.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035820_6f9e.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035818_2a28.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035816_41f5.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035814_2fcb.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035811_8b7f.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035804_c245.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035803_905b.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035757_08d9.json,4
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_7c16.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035751_9a38.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0ec3.json,4
quantum_log_Meta Cognitio_act_nq4_20250418035830_c50c.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035831_1ec6.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035829_2184.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035824_8ec5.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035820_b840.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035820_19d2.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035817_4093.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035815_5c75.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,4
quantum_log_Ethik und Moral_act_nq4_20250418035749_3aa4.json,4
quantum_log_Cortex Socialis_act_nq4_20250418035812_bf75.json,4
quantum_log_Cortex Socialis_act_nq4_20250418035802_9a26.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035809_3322.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035804_d2a2.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035758_db58.json,4
quantum_log_Simulatrix Neuralis_act_nq4_20250418035754_02b4.json,4
quantum_log_Cortex Creativus_act_nq4_20250418035811_834e.json,4
