Datei 1,Datei 2,Distanz
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035815_c785.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035816_41f5.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035811_9ce6.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035751_9a38.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035819_4bb1.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0ec3.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035820_19d2.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035757_08d9.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035820_19d2.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_a5ca.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035820_424d.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_3f60.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035822_c558.json,quantum_log_Ethik und Moral_act_nq4_20250418035831_1ec6.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035824_8ec5.json,quantum_log_Ethik und Moral_act_nq4_20250418035831_1ec6.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,quantum_log_Ethik und Moral_act_nq4_20250418035830_90ef.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_a5ca.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_2184.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_6457.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_91b6.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,quantum_log_Meta Cognitio_act_nq4_20250418035759_207f.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_3843.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035829_bb9e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_1dcd.json,2.0000
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,2.0000
